Date	App Name	App Apple Identifier	Download Type	App Version	Device	Platform Version	Source Type	Page Type	Pre-Order	Territory	Counts
2026-04-27	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App referrer	Product page		KR	2
2026-03-12	Sleep Tech	6757299435	Auto-update	1.02	iPhone	iOS 18.5	App Store search	Product page		KR	1
2026-03-26	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-07-24	Sleep Tech	6757299435	First-time download	1.10	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-03-26	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.4	App Store search	No page		KR	1
2026-07-24	Sleep Tech	6757299435	Manual update	1.10	iPhone	iOS 26.5	App Store search	No page		KR	1
2026-03-26	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 18.5	App Store search	No page		KR	1
2026-07-25	Sleep Tech	6757299435	First-time download	1.10	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-07-19	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-03-14	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.0	App Store search	No page		KR	1
2026-02-23	Sleep Tech	6757299435	First-time download	1.0	Desktop	Unavailable	App Store browse	Product page		US	1
2026-06-27	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 18.7	App Store search	Product page		IL	1
2026-02-23	Sleep Tech	6757299435	Redownload	1.0	Desktop	Unavailable	App Store browse	Product page		US	1
2026-06-27	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	No page		FR	1
2026-02-24	Sleep Tech	6757299435	First-time download	1.0	iPhone	iOS 18.7	App Store search	No page		KW	1
2026-07-03	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	No page		MX	1
2026-02-24	Sleep Tech	6757299435	Redownload	1.0	iPhone	iOS 18.5	App Store search	Product page		KR	1
2026-03-16	Sleep Tech	6757299435	Auto-update	1.02	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-02-24	Sleep Tech	6757299435	First-time download	1.0	iPhone	iOS 18.5	App Store search	No page		KR	1
2026-03-29	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-06-22	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	No page		KR	1
2026-04-21	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App referrer	Product page		KR	1
2026-06-15	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	Product page		KR	1
2026-03-06	Sleep Tech	6757299435	First-time download	1.01	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-03-27	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App Store search	No page		US	1
2026-07-18	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	No page		KR	1
2026-03-27	Sleep Tech	6757299435	First-time download	1.02	iPad	iOS 18.5	Unavailable	No page		US	1
2026-07-22	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	No page		US	1
2026-03-27	Sleep Tech	6757299435	First-time download	1.02	iPad	iOS 18.7	Unavailable	No page		KR	1
2026-07-22	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	No page		US	1
2026-07-14	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	Web referrer	Product page		KR	2
2026-07-22	Sleep Tech	6757299435	Redownload	1.02	iPhone	iOS 26.5	App Store search	No page		KR	2
2026-07-14	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App referrer	Store sheet		KR	1
2026-07-22	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-07-14	Sleep Tech	6757299435	Redownload	1.02	iPhone	iOS 26.5	App Store browse	Product page		KR	1
2026-07-22	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	No page		KR	1
2026-07-14	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App referrer	Product page		KR	3
2026-07-22	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-07-14	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 18.7	App referrer	Product page		KR	2
2026-07-22	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	Product page		KR	1
2026-07-28	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	No page		KR	1
2026-07-22	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	Web referrer	Product page		KR	1
2026-07-21	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-04-24	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App referrer	Product page		KR	1
2026-03-17	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-05-26	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.4	App Store search	Product page		JP	1
2026-03-10	Sleep Tech	6757299435	First-time download	1.01	iPhone	iOS 26.1	App Store search	No page		KR	1
2026-02-28	Sleep Tech	6757299435	Auto-update	1.01	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	No page		FR	1
2026-02-28	Sleep Tech	6757299435	Redownload	1.0	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App referrer	Store sheet		KR	1
2026-02-28	Sleep Tech	6757299435	First-time download	1.0	iPhone	iOS 26.2	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	First-time download	1.10	iPhone	iOS 26.5	App referrer	Product page		KR	1
2026-02-28	Sleep Tech	6757299435	First-time download	1.0	iPad	iOS 18.5	Unavailable	No page		JP	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App referrer	Product page		KR	6
2026-02-28	Sleep Tech	6757299435	First-time download	1.0	iPhone	iOS 26.3	App Store search	No page		KR	3
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	No page		KR	12
2026-02-28	Sleep Tech	6757299435	First-time download	1.0	iPad	iOS 26.3	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 18.7	App Store search	Product page		IL	1
2026-02-27	Sleep Tech	6757299435	First-time download	1.0	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 27.0	App Store search	No page		KR	1
2026-02-27	Sleep Tech	6757299435	First-time download	1.0	iPhone	iOS 26.2	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.3	App referrer	Product page		KR	1
2026-07-08	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store browse	Product page		US	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	Web referrer	Product page		KR	1
2026-03-24	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 26.5	App Store search	No page		US	1
2026-03-04	Sleep Tech	6757299435	First-time download	1.01	iPhone	iOS 18.5	App Store search	Product page		KR	1
2026-07-23	Sleep Tech	6757299435	Auto-update	1.10	iPhone	iOS 18.7	App referrer	Product page		KR	1
2026-03-04	Sleep Tech	6757299435	First-time download	1.01	iPhone	iOS 18.5	Unavailable	No page		US	1
2026-03-01	Sleep Tech	6757299435	Manual update	1.01	iPhone	iOS 26.3	App Store search	No page		KR	1
2026-07-15	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App referrer	Product page		KR	2
2026-03-01	Sleep Tech	6757299435	Auto-update	1.01	iPhone	iOS 26.3	App Store search	No page		KR	2
2026-07-16	Sleep Tech	6757299435	First-time download	1.02	iPhone	iOS 26.5	App Store search	No page		KR	1
2026-03-01	Sleep Tech	6757299435	Auto-update	1.01	iPhone	iOS 26.4	App Store search	No page		KR	1
2026-07-16	Sleep Tech	6757299435	Redownload	1.02	iPhone	iOS 26.5	Web referrer	Product page		KR	1
2026-03-01	Sleep Tech	6757299435	Auto-update	1.01	iPad	iOS 26.3	App Store search	No page		KR	1
2026-03-01	Sleep Tech	6757299435	Auto-update	1.01	iPhone	iOS 26.2	App Store search	No page		KR	1
2026-03-13	Sleep Tech	6757299435	Auto-update	1.02	iPhone	iOS 26.3	App Store search	No page		KR	6
2026-03-13	Sleep Tech	6757299435	Auto-update	1.02	iPhone	iOS 26.4	App Store search	No page		KR	1
2026-03-13	Sleep Tech	6757299435	Auto-update	1.02	iPhone	iOS 26.2	App Store search	No page		KR	1
