Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-07-19	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.5	PH	1	1
2026-07-20	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 18.5	VN	1	1
2026-07-18	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.5	KR	1	1
2026-07-20	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.5	BR	2	1
2026-07-20	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.5	US	1	1
2026-07-19	Sleep Tech	6757299435	Impression	No page	App Store browse		iPhone	iOS 26.4	KR	1	1
2026-07-20	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.5	FR	1	1
2026-07-19	Sleep Tech	6757299435	Tap	Product page	App Store browse	Get	iPhone	iOS 26.5	KR	1	1
2026-07-18	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.2	RU	1	1
2026-07-19	Sleep Tech	6757299435	Page view	Product page	App Store search		iPhone	iOS 26.5	KR	1	1
2026-07-20	Sleep Tech	6757299435	Impression	No page	App Store browse		iPhone	iOS 26.5	US	2	1
2026-07-19	Sleep Tech	6757299435	Page view	Product page	App referrer		iPhone	iOS 26.5	KR	1	1
2026-07-19	Sleep Tech	6757299435	Tap	Product page	App Store browse	Open	iPhone	iOS 26.5	KR	2	1
2026-07-19	Sleep Tech	6757299435	Impression	No page	App Store search		iPhone	iOS 26.5	KR	1	1
2026-07-18	Sleep Tech	6757299435	Tap	No page	App Store search	Get	iPhone	iOS 26.5	KR	1	1
